Iteration,TrainingError
1,0.348177
2,0.321777
3,0.313052
4,0.308664
5,0.304888
6,0.300516
7,0.296057
8,0.291502
9,0.286864
10,0.282329
11,0.278093
12,0.274242
13,0.270608
14,0.26707
15,0.263644
16,0.260189
17,0.256734
18,0.253267
19,0.249702
20,0.246123
21,0.242558
22,0.239047
23,0.23565
24,0.232389
25,0.229255
26,0.226239
27,0.223353
28,0.220593
29,0.217957
30,0.215443
31,0.213041
32,0.210735
33,0.208511
34,0.206362
35,0.204293
36,0.202313
37,0.20042
38,0.198605
39,0.196857
40,0.195165
41,0.193518
42,0.191911
43,0.190344
44,0.188822
45,0.187345
46,0.185904
47,0.184489
48,0.183087
49,0.181684
50,0.180266
51,0.178831
52,0.177395
53,0.175994
54,0.174659
55,0.173414
56,0.172252
57,0.171149
58,0.170086
59,0.16905
60,0.168032
61,0.167028
62,0.166042
63,0.165073
64,0.164124
65,0.163195
66,0.162286
67,0.16139
68,0.160502
69,0.15961
70,0.158709
71,0.157799
72,0.156896
73,0.15602
74,0.155181
75,0.154378
76,0.15361
77,0.152873
78,0.152164
79,0.151482
80,0.150822
81,0.150184
82,0.149566
83,0.148969
84,0.14839
85,0.147829
86,0.147284
87,0.146753
88,0.146235
89,0.145727
90,0.145229
91,0.14474
92,0.144259
93,0.143784
94,0.143317
95,0.142857
96,0.142404
97,0.141958
98,0.141517
99,0.141081
100,0.140649
101,0.140218
102,0.139787
103,0.139356
104,0.138927
105,0.1385
106,0.138079
107,0.137666
108,0.137263
109,0.136871
110,0.136488
111,0.136114
112,0.135747
113,0.135383
114,0.135022
115,0.134662
116,0.134302
117,0.133944
118,0.133587
119,0.133232
120,0.132882
121,0.132536
122,0.132197
123,0.131867
124,0.131547
125,0.131237
126,0.130937
127,0.130644
128,0.130357
129,0.130074
130,0.129792
131,0.12951
132,0.129227
133,0.128942
134,0.128655
135,0.128365
136,0.128073
137,0.127778
138,0.127483
139,0.127187
140,0.126892
141,0.126601
142,0.126313
143,0.126031
144,0.125754
145,0.125482
146,0.125214
147,0.12495
148,0.124689
149,0.12443
150,0.124173
151,0.123918
152,0.123665
153,0.123416
154,0.12317
155,0.122928
156,0.122692
157,0.12246
158,0.122234
159,0.122013
160,0.121798
161,0.121587
162,0.121382
163,0.121181
164,0.120985
165,0.120794
166,0.120606
167,0.120422
168,0.120241
169,0.120063
170,0.119888
171,0.119714
172,0.119542
173,0.119372
174,0.119202
175,0.119033
176,0.118865
177,0.118696
178,0.118528
179,0.118358
180,0.118187
181,0.118014
182,0.117839
183,0.117662
184,0.117482
185,0.117302
186,0.117122
187,0.116945
188,0.116771
189,0.116602
190,0.116437
191,0.116276
192,0.116119
193,0.115966
194,0.115815
195,0.115665
196,0.115518
197,0.115371
198,0.115225
199,0.115079
200,0.114933
201,0.114787
202,0.114639
203,0.11449
204,0.114339
205,0.114185
206,0.114027
207,0.113866
208,0.113701
209,0.113531
210,0.113357
211,0.113179
212,0.112999
213,0.112816
214,0.112632
215,0.112448
216,0.112263
217,0.112079
218,0.111892
219,0.111703
220,0.111511
221,0.111317
222,0.111124
223,0.110939
224,0.110763
225,0.110599
226,0.110444
227,0.110296
228,0.110152
229,0.110011
230,0.109874
231,0.109739
232,0.109606
233,0.109475
234,0.109346
235,0.109219
236,0.109093
237,0.108969
238,0.108846
239,0.108725
240,0.108604
241,0.108485
242,0.108367
243,0.10825
244,0.108133
245,0.108018
246,0.107903
247,0.107789
248,0.107676
249,0.107563
250,0.10745
251,0.107337
252,0.107224
253,0.10711
254,0.106996
255,0.106879
256,0.106761
257,0.106639
258,0.106514
259,0.106385
260,0.10625
261,0.106112
262,0.105972
263,0.105832
264,0.105696
265,0.105566
266,0.105442
267,0.105324
268,0.10521
269,0.1051
270,0.104993
271,0.104888
272,0.104786
273,0.104685
274,0.104584
275,0.104485
276,0.104386
277,0.104287
278,0.104187
279,0.104087
280,0.103987
281,0.103885
282,0.103783
283,0.103679
284,0.103574
285,0.103468
286,0.10336
287,0.103251
288,0.10314
289,0.103027
290,0.102912
291,0.102795
292,0.102675
293,0.102554
294,0.102431
295,0.102305
296,0.102178
297,0.102049
298,0.101919
299,0.101786
300,0.101652
301,0.101514
302,0.101373
303,0.101227
304,0.101074
305,0.100911
306,0.100736
307,0.100545
308,0.100338
309,0.100115
310,0.0998833
311,0.099651
312,0.0994242
313,0.0992055
314,0.0989951
315,0.098792
316,0.098595
317,0.0984027
318,0.0982138
319,0.0980275
320,0.0978429
321,0.0976596
322,0.0974772
323,0.0972958
324,0.0971153
325,0.0969361
326,0.0967586
327,0.0965833
