Iteration,TrainingError
1,0.358465
2,0.333257
3,0.32166
4,0.313248
5,0.306269
6,0.300002
7,0.29427
8,0.288883
9,0.283635
10,0.278503
11,0.273508
12,0.268699
13,0.264122
14,0.2598
15,0.255715
16,0.251827
17,0.248112
18,0.244568
19,0.241197
20,0.23799
21,0.234933
22,0.232008
23,0.229196
24,0.226488
25,0.223882
26,0.221376
27,0.218957
28,0.21661
29,0.214328
30,0.21212
31,0.209991
32,0.207935
33,0.205939
34,0.203995
35,0.202117
36,0.200325
37,0.198631
38,0.197029
39,0.195506
40,0.194047
41,0.192632
42,0.191238
43,0.189861
44,0.188538
45,0.187292
46,0.186113
47,0.184991
48,0.183917
49,0.182887
50,0.1819
51,0.18095
52,0.180032
53,0.179137
54,0.17826
55,0.177393
56,0.176537
57,0.175691
58,0.174862
59,0.174056
60,0.173276
61,0.172524
62,0.171802
63,0.171109
64,0.170444
65,0.169805
66,0.16919
67,0.168597
68,0.168024
69,0.16747
70,0.166934
71,0.166414
72,0.16591
73,0.165422
74,0.164949
75,0.164492
76,0.164049
77,0.163621
78,0.163208
79,0.162808
80,0.162422
81,0.162048
82,0.161686
83,0.161336
84,0.160997
85,0.160668
86,0.160348
87,0.160038
88,0.159736
89,0.159442
90,0.159157
91,0.158879
92,0.158607
93,0.158342
94,0.158083
95,0.15783
96,0.157581
97,0.157336
98,0.157095
99,0.156858
100,0.156624
101,0.156392
102,0.156164
103,0.155938
104,0.155715
105,0.155495
106,0.155278
107,0.155063
108,0.154851
109,0.154641
110,0.154432
111,0.154224
112,0.154016
113,0.153808
114,0.1536
115,0.15339
116,0.153178
117,0.152965
118,0.152749
119,0.152531
120,0.152311
121,0.15209
122,0.151867
123,0.151642
124,0.151416
125,0.151188
126,0.150957
127,0.150723
128,0.150486
129,0.150246
130,0.150002
131,0.149757
132,0.149512
133,0.149272
134,0.149037
135,0.148811
136,0.148594
137,0.148386
138,0.148185
139,0.14799
140,0.1478
141,0.147615
142,0.147435
143,0.147258
144,0.147084
145,0.146914
146,0.146747
147,0.146583
148,0.146422
149,0.146264
150,0.146108
151,0.145954
152,0.145802
153,0.145652
154,0.145504
155,0.145358
156,0.145213
157,0.145071
158,0.14493
159,0.144791
160,0.144655
161,0.144521
162,0.144389
163,0.144259
164,0.144132
165,0.144007
166,0.143883
167,0.143761
168,0.14364
169,0.14352
170,0.1434
171,0.143281
172,0.143161
173,0.143041
174,0.142919
175,0.142797
176,0.142673
177,0.142548
178,0.142422
179,0.142297
180,0.142174
181,0.142053
182,0.141936
183,0.141823
184,0.141712
185,0.141603
186,0.141497
187,0.141393
188,0.14129
189,0.141188
190,0.141088
191,0.140989
192,0.140891
193,0.140794
194,0.140697
195,0.140601
196,0.140506
197,0.14041
198,0.140315
199,0.14022
200,0.140124
201,0.140028
202,0.139931
203,0.139834
204,0.139735
205,0.139635
206,0.139534
207,0.13943
208,0.139325
209,0.139216
210,0.139104
211,0.138988
212,0.138867
213,0.13874
214,0.138606
215,0.138464
216,0.138312
217,0.138146
218,0.137967
219,0.137777
220,0.137586
221,0.137404
222,0.137237
223,0.137081
224,0.136933
225,0.136788
226,0.136643
227,0.136497
228,0.136347
229,0.136192
230,0.136033
231,0.135869
232,0.1357
233,0.135528
234,0.135351
235,0.135171
236,0.134987
237,0.134799
238,0.134607
239,0.134413
240,0.134217
241,0.134023
242,0.133833
243,0.13365
244,0.133474
245,0.133303
246,0.133136
247,0.132972
248,0.132809
249,0.132646
250,0.132485
251,0.132325
252,0.132168
253,0.132015
254,0.131867
255,0.131724
256,0.131586
257,0.131452
258,0.131324
259,0.131199
260,0.131078
261,0.13096
262,0.130846
263,0.130733
264,0.130623
265,0.130515
266,0.130408
267,0.130304
268,0.1302
269,0.130099
270,0.129998
271,0.129898
272,0.1298
273,0.129703
274,0.129606
275,0.12951
276,0.129415
277,0.129321
278,0.129228
279,0.129134
280,0.129042
281,0.12895
282,0.128858
283,0.128766
284,0.128675
285,0.128583
286,0.128491
287,0.1284
288,0.128307
289,0.128215
290,0.128122
291,0.128028
292,0.127933
293,0.127837
294,0.12774
295,0.127641
296,0.127542
297,0.12744
298,0.127338
299,0.127234
300,0.127128
301,0.127022
302,0.126915
303,0.126807
304,0.1267
305,0.126594
306,0.12649
307,0.126387
308,0.126286
309,0.126188
310,0.126092
311,0.125998
312,0.125907
313,0.125817
314,0.12573
315,0.125644
316,0.125559
317,0.125476
318,0.125394
319,0.125313
320,0.125234
321,0.125155
322,0.125077
323,0.125
324,0.124924
325,0.124849
326,0.124775
327,0.124701
328,0.124629
329,0.124557
330,0.124486
331,0.124415
332,0.124346
333,0.124277
334,0.124209
335,0.124141
336,0.124074
337,0.124008
338,0.123943
339,0.123878
340,0.123813
341,0.123749
342,0.123686
343,0.123623
344,0.12356
345,0.123498
346,0.123436
347,0.123374
348,0.123313
349,0.123252
350,0.123191
351,0.12313
352,0.123069
353,0.123008
354,0.122947
355,0.122886
356,0.122826
357,0.122765
358,0.122704
359,0.122643
360,0.122582
361,0.122521
362,0.122459
363,0.122397
364,0.122335
365,0.122273
366,0.12221
367,0.122146
368,0.122082
369,0.122017
370,0.121951
371,0.121883
372,0.121814
373,0.121744
374,0.121672
375,0.1216
376,0.121527
377,0.121454
378,0.121382
379,0.12131
380,0.12124
381,0.12117
382,0.121101
383,0.121032
384,0.120962
385,0.120892
386,0.120821
387,0.120748
388,0.120674
389,0.120598
390,0.120519
391,0.120438
392,0.120355
393,0.12027
394,0.120185
395,0.120101
396,0.120019
397,0.119939
398,0.119862
399,0.119789
400,0.119718
401,0.119651
402,0.119585
403,0.119522
404,0.11946
405,0.1194
406,0.119342
407,0.119285
408,0.119228
409,0.119173
410,0.11912
411,0.119067
412,0.119014
413,0.118963
414,0.118913
415,0.118863
416,0.118814
417,0.118766
418,0.118718
419,0.118671
420,0.118624
421,0.118578
422,0.118532
423,0.118487
424,0.118442
425,0.118397
426,0.118353
427,0.118309
428,0.118265
429,0.118222
430,0.118178
431,0.118135
432,0.118093
433,0.11805
434,0.118008
435,0.117966
436,0.117925
437,0.117884
438,0.117844
439,0.117804
440,0.117764
441,0.117725
442,0.117687
443,0.117649
444,0.117611
445,0.117574
446,0.117538
447,0.117501
448,0.117465
449,0.117429
450,0.117394
451,0.117358
452,0.117323
453,0.117288
454,0.117253
455,0.117218
456,0.117183
457,0.117148
458,0.117113
459,0.117078
460,0.117043
461,0.117008
462,0.116974
463,0.116939
464,0.116905
465,0.116872
466,0.116839
467,0.116806
468,0.116774
469,0.116743
470,0.116712
471,0.116682
472,0.116652
473,0.116623
474,0.116594
475,0.116566
476,0.116538
477,0.11651
478,0.116482
479,0.116455
480,0.116428
481,0.116401
482,0.116374
483,0.116347
484,0.11632
485,0.116293
486,0.116265
487,0.116238
488,0.11621
489,0.116182
490,0.116154
491,0.116126
492,0.116097
