Iteration,TrainingError
1,0.32977
2,0.314594
3,0.304078
4,0.296352
5,0.290071
6,0.284949
7,0.280663
8,0.276871
9,0.27344
10,0.270231
11,0.267209
12,0.26436
13,0.261599
14,0.258921
15,0.256413
16,0.254063
17,0.251873
18,0.249858
19,0.248008
20,0.246303
21,0.244717
22,0.243214
23,0.241763
24,0.240335
25,0.238906
26,0.237476
27,0.236055
28,0.234647
29,0.233259
30,0.231897
31,0.230558
32,0.229246
33,0.22797
34,0.226733
35,0.225539
36,0.224388
37,0.223277
38,0.2222
39,0.221151
40,0.220125
41,0.219116
42,0.218122
43,0.217139
44,0.216165
45,0.215197
46,0.214237
47,0.213286
48,0.212347
49,0.211424
50,0.210515
51,0.209618
52,0.208728
53,0.207843
54,0.206959
55,0.206072
56,0.205179
57,0.204279
58,0.203373
59,0.202467
60,0.201567
61,0.200675
62,0.199794
63,0.198925
64,0.198065
65,0.197211
66,0.196357
67,0.195499
68,0.194628
69,0.193738
70,0.192825
71,0.191895
72,0.190964
73,0.190046
74,0.189147
75,0.188265
76,0.187394
77,0.186532
78,0.185677
79,0.184832
80,0.183999
81,0.183183
82,0.182386
83,0.181608
84,0.180847
85,0.180097
86,0.179353
87,0.178609
88,0.177863
89,0.177114
90,0.176365
91,0.17562
92,0.174881
93,0.174154
94,0.173444
95,0.172752
96,0.172078
97,0.171422
98,0.170784
99,0.170163
100,0.169554
101,0.168951
102,0.168348
103,0.16774
104,0.167125
105,0.166499
106,0.165861
107,0.16521
108,0.164552
109,0.163898
110,0.163256
111,0.162627
112,0.162003
113,0.161381
114,0.160761
115,0.160151
116,0.159555
117,0.158973
118,0.158399
119,0.15783
120,0.157261
121,0.156692
122,0.156123
123,0.155556
124,0.15499
125,0.154427
126,0.153864
127,0.153302
128,0.15274
129,0.152177
130,0.151616
131,0.151058
132,0.150505
133,0.149958
134,0.149417
135,0.148881
136,0.14835
137,0.147822
138,0.1473
139,0.146786
140,0.146286
141,0.145803
142,0.145341
143,0.144899
144,0.144476
145,0.144071
146,0.143681
147,0.143303
148,0.142935
149,0.142575
150,0.14222
151,0.141871
152,0.141525
153,0.141181
154,0.140841
155,0.140501
156,0.140163
157,0.139826
158,0.139488
159,0.13915
160,0.13881
161,0.138467
162,0.13812
163,0.137769
164,0.137413
165,0.137052
166,0.136688
167,0.136322
168,0.135957
169,0.135595
170,0.135236
171,0.134882
172,0.134533
173,0.134186
174,0.133842
175,0.1335
176,0.133161
177,0.132823
178,0.132487
179,0.132153
180,0.13182
181,0.131489
182,0.131158
183,0.13083
184,0.130502
185,0.130176
186,0.129852
187,0.12953
188,0.129211
189,0.128896
190,0.128584
191,0.128276
192,0.127972
193,0.127673
194,0.127377
195,0.127085
196,0.126797
197,0.126512
198,0.12623
199,0.125951
200,0.125674
201,0.125399
202,0.125125
203,0.124854
204,0.124584
205,0.124314
206,0.124046
207,0.123778
208,0.123509
209,0.123241
210,0.122973
211,0.122705
212,0.122439
213,0.122174
214,0.121913
215,0.121655
216,0.121403
217,0.121156
218,0.120915
219,0.120679
220,0.120448
221,0.120221
222,0.119997
223,0.119776
224,0.119557
225,0.119339
226,0.11912
227,0.118901
228,0.118681
229,0.118459
230,0.118236
231,0.118011
232,0.117786
233,0.117561
234,0.117337
235,0.117116
236,0.116897
237,0.116681
238,0.116469
239,0.11626
240,0.116053
241,0.115849
242,0.115648
243,0.115448
244,0.11525
245,0.115053
246,0.114858
247,0.114664
248,0.114472
249,0.11428
250,0.114089
251,0.113897
252,0.113706
253,0.113514
254,0.113322
255,0.11313
256,0.112937
257,0.112745
258,0.112553
259,0.112362
260,0.112173
261,0.111987
262,0.111804
263,0.111623
264,0.111446
265,0.111272
266,0.1111
267,0.110932
268,0.110766
269,0.110604
270,0.110445
271,0.11029
272,0.110138
273,0.10999
274,0.109845
275,0.109704
276,0.109567
277,0.109432
278,0.1093
279,0.10917
280,0.109042
281,0.108916
282,0.108791
283,0.108668
284,0.108545
285,0.108423
286,0.108302
287,0.108181
288,0.108061
289,0.107941
290,0.107822
291,0.107704
292,0.107586
293,0.107469
294,0.107352
295,0.107235
296,0.107119
297,0.107002
298,0.106884
299,0.106765
300,0.106646
301,0.106526
302,0.106405
303,0.106283
304,0.106161
305,0.106039
306,0.105917
307,0.105794
308,0.105672
309,0.10555
310,0.105429
311,0.105308
312,0.105188
313,0.105069
314,0.10495
315,0.104832
316,0.104714
317,0.104597
318,0.10448
319,0.104364
320,0.104249
321,0.104137
322,0.104026
323,0.103919
324,0.103814
325,0.103713
326,0.103615
327,0.10352
328,0.103428
329,0.103339
330,0.103252
331,0.103167
332,0.103083
333,0.103001
334,0.102921
335,0.102841
336,0.102763
337,0.102687
338,0.102611
339,0.102538
340,0.102467
341,0.102399
342,0.102332
343,0.102268
344,0.102206
345,0.102146
346,0.102087
347,0.10203
348,0.101974
349,0.101919
350,0.101865
351,0.101811
352,0.101758
353,0.101706
354,0.101654
355,0.101601
356,0.101549
357,0.101497
358,0.101444
359,0.101391
360,0.101337
361,0.101282
362,0.101225
363,0.101168
364,0.101108
365,0.101047
366,0.100984
367,0.100918
368,0.100851
369,0.100781
370,0.100711
371,0.10064
372,0.100569
373,0.100499
374,0.100431
375,0.100364
376,0.100298
377,0.100235
378,0.100172
379,0.100111
380,0.100051
381,0.0999916
382,0.0999329
383,0.0998747
384,0.0998168
385,0.0997591
386,0.0997013
387,0.0996433
388,0.0995849
389,0.0995259
390,0.0994662
391,0.0994055
392,0.0993437
393,0.0992807
394,0.0992164
395,0.0991507
396,0.0990836
397,0.0990151
398,0.0989454
399,0.0988748
400,0.0988035
401,0.0987321
402,0.0986609
403,0.0985905
404,0.0985213
405,0.0984535
406,0.0983873
407,0.0983226
408,0.0982594
409,0.0981974
410,0.0981364
411,0.0980763
412,0.0980168
413,0.0979578
414,0.097899
415,0.0978404
416,0.0977819
417,0.0977232
418,0.0976643
419,0.0976052
420,0.0975457
421,0.0974858
422,0.0974256
423,0.097365
424,0.097304
425,0.0972427
426,0.0971811
427,0.0971192
428,0.0970572
429,0.0969949
430,0.0969325
431,0.0968699
432,0.0968071
433,0.0967441
434,0.0966808
435,0.0966172
436,0.0965534
437,0.0964895
438,0.0964255
439,0.0963617
440,0.0962981
441,0.0962349
442,0.0961721
443,0.0961098
444,0.096048
445,0.0959868
446,0.0959262
447,0.0958662
448,0.0958069
449,0.0957483
450,0.0956905
451,0.0956335
452,0.0955775
453,0.0955224
454,0.0954684
455,0.0954155
456,0.0953637
457,0.095313
458,0.0952635
459,0.095215
460,0.0951677
461,0.0951214
462,0.0950761
463,0.0950317
464,0.0949882
465,0.0949454
466,0.0949033
467,0.0948618
468,0.0948207
469,0.0947801
470,0.0947398
471,0.0946997
472,0.0946597
473,0.0946198
474,0.0945798
475,0.0945396
476,0.0944991
477,0.0944581
478,0.0944165
479,0.0943741
480,0.0943308
481,0.0942862
482,0.0942401
483,0.0941921
484,0.094142
485,0.094089
486,0.0940328
487,0.0939725
488,0.0939073
489,0.0938361
490,0.0937578
491,0.0936709
492,0.0935743
493,0.0934669
494,0.0933488
