Iteration,TrainingError
1,0.445905
2,0.380771
3,0.355865
4,0.343041
5,0.334449
6,0.327582
7,0.321618
8,0.316329
9,0.311275
10,0.306366
11,0.301711
12,0.29694
13,0.291994
14,0.287052
15,0.282208
16,0.277524
17,0.273062
18,0.26885
19,0.264903
20,0.261221
21,0.257792
22,0.254597
23,0.25161
24,0.248798
25,0.24614
26,0.243626
27,0.24125
28,0.239
29,0.236868
30,0.234852
31,0.232954
32,0.23119
33,0.229573
34,0.22809
35,0.226716
36,0.225442
37,0.224268
38,0.223196
39,0.222174
40,0.22114
41,0.220087
42,0.21903
43,0.217989
44,0.216973
45,0.215989
46,0.215037
47,0.214119
48,0.213232
49,0.212374
50,0.21154
51,0.210726
52,0.209928
53,0.209141
54,0.20836
55,0.207584
56,0.206813
57,0.206047
58,0.205286
59,0.204528
60,0.203773
61,0.203028
62,0.2023
63,0.201593
64,0.200907
65,0.200239
66,0.199587
67,0.198947
68,0.198317
69,0.197696
70,0.197085
71,0.196486
72,0.195901
73,0.195331
74,0.194777
75,0.194236
76,0.193708
77,0.193192
78,0.192685
79,0.192185
80,0.191692
81,0.191203
82,0.190716
83,0.19023
84,0.189741
85,0.189251
86,0.188756
87,0.18826
88,0.187761
89,0.187259
90,0.186752
91,0.186237
92,0.185711
93,0.185171
94,0.184623
95,0.184077
96,0.183544
97,0.183032
98,0.182542
99,0.182072
100,0.181617
101,0.181176
102,0.180745
103,0.180325
104,0.179912
105,0.179508
106,0.179111
107,0.17872
108,0.178336
109,0.177958
110,0.177586
111,0.177219
112,0.176858
113,0.176501
114,0.176148
115,0.175798
116,0.175451
117,0.175106
118,0.174762
119,0.17442
120,0.17408
121,0.173742
122,0.173407
123,0.173075
124,0.172745
125,0.172418
126,0.172092
127,0.171766
128,0.171438
129,0.171109
130,0.170778
131,0.170447
132,0.170116
133,0.169787
134,0.169462
135,0.16914
136,0.168822
137,0.168508
138,0.168199
139,0.167894
140,0.167593
141,0.167297
142,0.167005
143,0.166716
144,0.16643
145,0.166147
146,0.165866
147,0.165586
148,0.165306
149,0.165026
150,0.164746
151,0.164465
152,0.164185
153,0.163905
154,0.163626
155,0.163349
156,0.163074
157,0.162801
158,0.162528
159,0.162255
160,0.16198
161,0.161699
162,0.16141
163,0.16111
164,0.160797
165,0.160476
166,0.160158
167,0.159855
168,0.15957
169,0.159297
170,0.159032
171,0.158772
172,0.158516
173,0.158263
174,0.158012
175,0.157763
176,0.157516
177,0.157272
178,0.157029
179,0.156788
180,0.156548
181,0.156311
182,0.156075
183,0.155841
184,0.155608
185,0.155377
186,0.155146
187,0.154916
188,0.154686
189,0.154455
190,0.154225
191,0.153995
192,0.153765
193,0.153536
194,0.153308
195,0.153081
196,0.152857
197,0.152635
198,0.152417
199,0.152201
200,0.15199
201,0.151782
202,0.151579
203,0.151379
204,0.151184
205,0.150993
206,0.150806
207,0.150623
208,0.150442
209,0.150264
210,0.150088
211,0.149914
212,0.14974
213,0.149567
214,0.149393
215,0.149219
216,0.149045
217,0.148869
218,0.148693
219,0.148516
220,0.148337
221,0.148157
222,0.147976
223,0.147793
224,0.147609
225,0.147425
226,0.147241
227,0.147059
228,0.14688
229,0.146704
230,0.146533
231,0.146365
232,0.146201
233,0.14604
234,0.14588
235,0.145723
236,0.145567
237,0.145412
238,0.145258
239,0.145105
240,0.144952
241,0.1448
242,0.144649
243,0.144499
244,0.14435
245,0.144203
246,0.144059
247,0.143917
248,0.143778
249,0.143641
250,0.143506
251,0.143372
252,0.143239
253,0.143105
254,0.142969
255,0.142829
256,0.142686
257,0.142535
258,0.142374
259,0.1422
260,0.142008
261,0.141796
262,0.141565
263,0.141321
264,0.141071
265,0.14083
266,0.140609
267,0.14041
268,0.140225
269,0.140047
270,0.139872
271,0.139695
272,0.139515
273,0.139331
274,0.139144
275,0.138956
276,0.13877
277,0.138587
278,0.138409
279,0.138235
280,0.138065
281,0.1379
282,0.137739
283,0.137579
284,0.137421
285,0.137263
286,0.137103
287,0.136939
288,0.13677
289,0.136593
290,0.136409
291,0.136217
292,0.136018
293,0.135815
294,0.135607
295,0.13539
296,0.135159
297,0.134906
298,0.134623
299,0.134313
300,0.133994
301,0.133687
302,0.133399
303,0.133125
304,0.132858
305,0.132595
306,0.132338
307,0.132089
308,0.131848
309,0.131616
310,0.131388
311,0.131162
312,0.130932
313,0.130693
314,0.130439
315,0.130164
316,0.129869
317,0.129559
318,0.129245
319,0.128929
320,0.128606
321,0.128275
322,0.127952
323,0.127647
324,0.127363
325,0.127094
326,0.126839
327,0.126596
328,0.126365
329,0.126147
330,0.125941
331,0.125744
332,0.125555
333,0.125373
334,0.125196
335,0.125024
336,0.124857
337,0.124692
338,0.12453
339,0.124371
340,0.124213
341,0.124057
342,0.123903
343,0.12375
344,0.123598
345,0.123448
346,0.123299
347,0.123152
348,0.123007
349,0.122864
