Iteration,TrainingError
1,0.0477492
2,0.0458278
3,0.0436752
4,0.0431263
5,0.0428827
6,0.0427095
7,0.0425535
8,0.0423872
9,0.0422164
10,0.0420407
11,0.0418703
12,0.0417334
13,0.0416056
14,0.0414769
15,0.0413999
16,0.0413471
17,0.0412937
18,0.0412506
19,0.0411706
20,0.0410399
21,0.0408327
22,0.0405958
23,0.0403131
24,0.040237
25,0.0401292
26,0.0400834
27,0.0399358
28,0.0398464
29,0.0397598
30,0.0396987
31,0.041624
32,0.0407239
33,0.0398645
34,0.0395429
35,0.0392325
36,0.040281
37,0.0399059
38,0.0392294
39,0.0399641
40,0.0400315
41,0.0400624
42,0.0399158
43,0.0395377
44,0.0392212
45,0.039072
46,0.0389983
47,0.0388552
48,0.0383144
49,0.0393637
50,0.0383979
51,0.0381982
52,0.0382365
53,0.038364
54,0.03864
55,0.0386144
56,0.038434
57,0.0386111
58,0.0384271
59,0.0387995
60,0.0388881
61,0.0386571
62,0.0386903
63,0.038631
64,0.0388138
65,0.0386177
66,0.0384502
67,0.0387365
68,0.0387619
69,0.0381555
70,0.0380809
71,0.0382115
72,0.0385109
73,0.0382642
74,0.0380982
75,0.0381372
76,0.0382255
77,0.0387715
78,0.0381784
79,0.0380067
80,0.0381492
81,0.0379842
82,0.0379562
83,0.0380578
84,0.0383452
85,0.0384401
86,0.0385113
87,0.0379194
88,0.0379792
89,0.038083
90,0.0380651
91,0.0379653
92,0.0382172
93,0.0391998
94,0.0383196
95,0.0379508
96,0.038494
97,0.0379413
98,0.0380839
99,0.0380785
100,0.0380343
101,0.0379215
102,0.0381701
103,0.0381145
104,0.0386521
105,0.0379463
106,0.0378659
107,0.0378996
108,0.0380592
109,0.0379363
110,0.0381307
111,0.0394325
112,0.0397117
113,0.0384211
114,0.0385361
115,0.0393476
116,0.0379337
117,0.0380742
118,0.0381594
119,0.0378865
120,0.0385148
121,0.038607
122,0.0379085
123,0.0381929
124,0.038144
125,0.0393287
126,0.0382106
127,0.0398191
128,0.0392638
129,0.0378179
130,0.0398453
131,0.039853
132,0.0390914
133,0.0377034
134,0.037982
135,0.0378381
136,0.0378563
137,0.0379709
138,0.0377616
139,0.0380506
140,0.0392842
141,0.0381967
142,0.0377537
143,0.0382946
144,0.037978
145,0.0379574
146,0.0384117
147,0.0378074
148,0.0378445
149,0.0378095
150,0.0382399
151,0.0392314
152,0.0377234
153,0.0380664
154,0.0386143
155,0.0389658
156,0.0392255
157,0.0377306
158,0.0393084
159,0.039321
160,0.0394221
161,0.0379813
162,0.0396001
163,0.0398743
164,0.0381502
165,0.0396827
166,0.0397616
167,0.0395764
168,0.0396957
169,0.0377732
170,0.0379029
171,0.0382617
172,0.0394242
173,0.0378905
174,0.0393163
175,0.0379628
176,0.0379657
177,0.0380845
178,0.0391951
179,0.0376792
180,0.0385342
181,0.0379346
182,0.0391827
183,0.0397132
184,0.0393006
185,0.0393559
186,0.0377226
187,0.0380479
188,0.0392659
189,0.0377444
190,0.0396245
191,0.0395022
192,0.0377269
193,0.0381219
194,0.0394299
195,0.0392085
196,0.0377756
197,0.0397041
198,0.0397528
199,0.0395192
200,0.0378616
201,0.0399558
202,0.0380468
203,0.0377891
204,0.0377525
205,0.0375933
206,0.0375448
207,0.0377481
208,0.0398793
209,0.0378036
210,0.0399994
211,0.0378564
212,0.0373769
213,0.0384919
214,0.0377628
215,0.0402064
216,0.0394776
217,0.0392527
218,0.0390593
219,0.0398752
220,0.0380857
221,0.0375239
222,0.0392182
223,0.0391775
224,0.0392745
225,0.0376605
226,0.0378942
227,0.0444627
228,0.0376664
229,0.0391468
230,0.0381382
231,0.0386184
232,0.0397029
233,0.0393686
234,0.0387515
235,0.0399378
236,0.0381304
237,0.037793
238,0.0378229
239,0.0377561
240,0.0376461
241,0.0391688
242,0.0385005
243,0.0378493
244,0.0374282
245,0.0391699
246,0.0377152
247,0.0380644
248,0.038295
249,0.0379037
250,0.0380175
251,0.0396417
252,0.0398585
253,0.0405885
254,0.0375942
255,0.0377966
256,0.0377513
257,0.0405984
258,0.0380752
259,0.0380178
260,0.0381728
261,0.0402153
