Iteration,TrainingError
1,0.0468242
2,0.0438887
3,0.0420875
4,0.0414429
5,0.0413825
6,0.0416926
7,0.041973
8,0.0420811
9,0.0421162
10,0.0420789
11,0.0419824
12,0.0418625
13,0.0417897
14,0.0417888
15,0.0418456
16,0.0420099
17,0.0422349
18,0.0423931
19,0.0426346
20,0.0426819
21,0.0425183
22,0.0423947
23,0.0423147
24,0.0422237
25,0.0421127
26,0.041993
27,0.041777
28,0.0415732
29,0.0417189
30,0.0413478
31,0.0424865
32,0.0405917
33,0.0397774
34,0.0390946
35,0.040394
36,0.0402522
37,0.0410133
38,0.0391662
39,0.039195
40,0.0394257
41,0.039466
42,0.0394445
43,0.0393583
44,0.0395599
45,0.0391391
46,0.039444
47,0.039391
48,0.0388229
49,0.0396244
50,0.0396049
51,0.0389585
52,0.0388674
53,0.0456703
54,0.03999
55,0.0441091
56,0.0385108
57,0.0386113
58,0.0387728
59,0.0386538
60,0.0416689
61,0.0382276
62,0.0395971
63,0.046172
64,0.0384315
65,0.0396566
66,0.0458297
67,0.0457184
68,0.0385517
69,0.0385263
70,0.0458638
71,0.0455044
72,0.0461678
73,0.0381102
74,0.0393345
75,0.0384334
76,0.0417252
77,0.0383542
78,0.03833
79,0.0426857
80,0.0398223
81,0.0382185
82,0.0389383
83,0.0387851
84,0.0388162
85,0.0385831
86,0.0391113
87,0.0386586
88,0.0391326
89,0.0392858
90,0.0390533
91,0.0388414
92,0.0441183
93,0.0390839
94,0.0385152
95,0.0389803
96,0.0383896
97,0.039101
98,0.0391714
99,0.0384021
100,0.0381555
101,0.0382014
102,0.0382395
103,0.0392624
104,0.0381965
105,0.0383028
106,0.0382183
107,0.0395529
108,0.0391703
109,0.0400489
110,0.0418918
111,0.0383823
112,0.042422
113,0.0427613
114,0.0388207
115,0.0378316
116,0.0388385
117,0.0395101
118,0.0377646
119,0.0392637
120,0.0378819
121,0.0388877
122,0.0390044
123,0.0384097
124,0.0380817
125,0.038309
126,0.0394286
127,0.0398561
128,0.0382738
129,0.0395474
130,0.0382261
131,0.037723
132,0.0397252
133,0.0384893
134,0.0391344
135,0.040018
136,0.0391987
137,0.0381746
138,0.0382469
139,0.0382859
140,0.0391324
141,0.0383561
142,0.039391
143,0.0380481
144,0.0398675
145,0.0385791
146,0.0378686
147,0.0380694
148,0.0386223
149,0.0390497
150,0.0375707
151,0.0384597
152,0.0380924
153,0.0417947
154,0.0375267
155,0.038136
156,0.0394623
157,0.0382298
158,0.0382573
159,0.0393093
160,0.0395315
161,0.0392497
162,0.0386842
163,0.0383174
164,0.0393313
165,0.037771
166,0.0377274
167,0.0387249
168,0.0388621
169,0.0380788
170,0.0388568
171,0.0383385
172,0.0386901
173,0.0391871
174,0.0380785
175,0.0382425
176,0.037955
177,0.0392939
178,0.0386031
179,0.0381844
180,0.0391465
181,0.0396079
182,0.0381429
183,0.0377821
184,0.0383337
185,0.0379625
186,0.0379117
187,0.0372476
188,0.0385666
189,0.0390494
190,0.0385324
191,0.0387872
192,0.0380761
193,0.0389998
194,0.0387716
195,0.0389407
196,0.0383193
197,0.0397456
198,0.0392352
199,0.0391993
200,0.0373148
201,0.0380765
202,0.0399478
203,0.0382786
204,0.0382306
205,0.0373246
206,0.0396894
207,0.0383454
208,0.0387275
209,0.0384114
210,0.0382094
211,0.0398593
212,0.0379921
213,0.0398299
214,0.0378048
215,0.0446879
216,0.0375065
217,0.0398808
218,0.0386433
219,0.0376798
220,0.0380474
221,0.0373674
222,0.0390207
223,0.0383862
224,0.0388372
225,0.0381342
226,0.0394893
227,0.0388816
228,0.0378316
229,0.037893
230,0.0397301
231,0.0380796
232,0.0385128
233,0.0375606
234,0.0376561
235,0.0418775
236,0.0378156
