Iteration,TrainingError
1,0.046753
2,0.0436548
3,0.0430948
4,0.0441066
5,0.0444656
6,0.0444747
7,0.0443692
8,0.0442343
9,0.0441098
10,0.0440035
11,0.0439008
12,0.0437834
13,0.0436593
14,0.0434836
15,0.0431706
16,0.0424949
17,0.0416587
18,0.0410743
19,0.040502
20,0.0402221
21,0.0401504
22,0.0400754
23,0.0400543
24,0.0400268
25,0.0400233
26,0.0400073
27,0.0399894
28,0.03997
29,0.0399169
30,0.0398976
31,0.0400146
32,0.0402215
33,0.039931
34,0.0401124
35,0.0407758
36,0.0398625
37,0.0399027
38,0.0398144
39,0.0396292
40,0.0394872
41,0.039961
42,0.0399488
43,0.0397576
44,0.0392772
45,0.0394044
46,0.0393371
47,0.0395291
48,0.038926
49,0.0388989
50,0.038842
51,0.0389467
52,0.0392364
53,0.0390683
54,0.039305
55,0.0391413
56,0.038726
57,0.039036
58,0.0392042
59,0.0387536
60,0.0389019
61,0.0387163
62,0.0387275
63,0.0386252
64,0.0387163
65,0.0385808
66,0.038636
67,0.0386794
68,0.0385856
69,0.0387854
70,0.0386738
71,0.0387387
72,0.0406437
73,0.0430017
74,0.0390245
75,0.0390973
76,0.0389232
77,0.0388074
78,0.0386384
79,0.0399459
80,0.0385731
81,0.038606
82,0.0386165
83,0.0388534
84,0.0385041
85,0.0391161
86,0.0384862
87,0.0383381
88,0.0388316
89,0.0385651
90,0.038353
91,0.0392156
92,0.0384898
93,0.03839
94,0.038274
95,0.0387829
96,0.0384296
97,0.0383063
98,0.0386328
99,0.0382921
100,0.0386913
101,0.0384149
102,0.0397726
103,0.0384978
104,0.0382704
105,0.0390016
106,0.0383811
107,0.0384128
108,0.0386315
109,0.0384488
110,0.0384547
111,0.0383821
112,0.0382979
113,0.0385847
114,0.0385547
115,0.0397782
116,0.0383456
117,0.0381916
118,0.0382414
119,0.0382892
120,0.038429
121,0.0382579
122,0.0383035
123,0.0382898
124,0.0389702
125,0.0382678
126,0.0382528
127,0.0383762
128,0.0393637
129,0.0385154
130,0.0381514
131,0.0382594
132,0.0385183
133,0.0382023
134,0.038221
135,0.0385169
136,0.0382602
137,0.0387768
138,0.0386903
139,0.0398537
140,0.0383253
141,0.0388398
142,0.0386388
143,0.0382486
144,0.0382748
145,0.0387567
146,0.0389863
147,0.0382418
148,0.0381691
149,0.0388528
150,0.0382189
151,0.0387816
152,0.0383362
153,0.0384587
154,0.0382952
155,0.0393533
156,0.0383585
157,0.0394418
158,0.0385017
159,0.0384342
160,0.0385909
161,0.038136
162,0.0385257
163,0.0382895
164,0.0382167
165,0.0389612
166,0.0384754
167,0.0383076
168,0.0382525
169,0.0389403
170,0.0397514
171,0.0381453
172,0.0381973
173,0.0382125
174,0.0384401
175,0.0383219
176,0.0383427
177,0.0383446
178,0.0383008
179,0.0382289
180,0.0381678
181,0.0383277
182,0.0382118
183,0.0381128
184,0.0383165
185,0.0386736
186,0.0384451
187,0.0385262
188,0.0382446
189,0.0384231
190,0.0385306
191,0.0383023
192,0.0384426
193,0.038543
194,0.0381549
195,0.0387447
196,0.0381249
197,0.0383553
198,0.038917
199,0.0389055
200,0.0382234
201,0.0382634
202,0.038832
203,0.0394511
204,0.0381484
205,0.0381833
206,0.0386287
207,0.0382251
208,0.038147
209,0.0380873
210,0.0386306
211,0.0382002
212,0.0383583
213,0.038251
214,0.0399125
215,0.0402482
216,0.0399192
217,0.0399951
218,0.0396064
219,0.0395868
220,0.0397884
221,0.0400048
222,0.0387448
223,0.0395382
224,0.0383942
225,0.0381527
226,0.0381064
227,0.0380302
228,0.0393038
229,0.0383929
230,0.0381667
231,0.0381257
232,0.0382576
233,0.0382382
234,0.0382268
235,0.0381951
236,0.03827
237,0.038182
238,0.0383198
239,0.0383423
240,0.0381137
241,0.0381663
242,0.0381748
243,0.0381505
244,0.0381898
245,0.0393618
246,0.03831
247,0.0455747
248,0.0395458
249,0.0404276
250,0.0396042
251,0.039657
252,0.0399956
253,0.0398985
254,0.0398214
255,0.0400377
256,0.0395837
257,0.0398761
258,0.0397332
259,0.0396283
260,0.039637
261,0.0398043
262,0.0398603
263,0.0397282
264,0.0395674
265,0.039611
266,0.0397374
267,0.0396315
268,0.0397177
269,0.0402431
270,0.0395181
271,0.0394766
272,0.0397307
273,0.0396934
274,0.0396871
275,0.0397014
276,0.0394298
