Iteration,TrainingError
1,0.04448
2,0.0430472
3,0.0420523
4,0.0415067
5,0.0413056
6,0.0413187
7,0.0414149
8,0.041507
9,0.0415342
10,0.0415169
11,0.0416498
12,0.0416503
13,0.0418951
14,0.0419259
15,0.0418677
16,0.0416865
17,0.0412754
18,0.0410034
19,0.0408178
20,0.0406721
21,0.0405578
22,0.0404584
23,0.0403725
24,0.0403032
25,0.0402436
26,0.0401883
27,0.0401305
28,0.0400649
29,0.0399908
30,0.0399159
31,0.0398475
32,0.039785
33,0.0397302
34,0.0396887
35,0.0396552
36,0.0396152
37,0.0395647
38,0.039516
39,0.0394672
40,0.0394175
41,0.039369
42,0.0392991
43,0.0392175
44,0.0392626
45,0.0392394
46,0.0392071
47,0.0392507
48,0.03923
49,0.0394763
50,0.03911
51,0.0392874
52,0.0392882
53,0.039682
54,0.0390866
55,0.0396109
56,0.0390721
57,0.0390719
58,0.0391144
59,0.0396865
60,0.0388755
61,0.0397192
62,0.0396123
63,0.0396139
64,0.0392908
65,0.0397838
66,0.0397135
67,0.0397367
68,0.0396739
69,0.03904
70,0.0386972
71,0.0397296
72,0.0397616
73,0.0396658
74,0.0394706
75,0.039695
76,0.0397455
77,0.0397251
78,0.0395879
79,0.0397189
80,0.0396484
81,0.03971
82,0.039691
83,0.0398031
84,0.0395808
85,0.039808
86,0.0393448
87,0.0398331
88,0.0396671
89,0.0393794
90,0.0389423
91,0.0388458
92,0.0394406
93,0.038453
94,0.0394029
95,0.0395905
96,0.039027
97,0.043145
98,0.0382565
99,0.0395916
100,0.0446593
101,0.0394876
102,0.0389291
103,0.0434828
104,0.0396705
105,0.0395711
106,0.0386805
107,0.0391714
108,0.0392124
109,0.0392079
110,0.0382451
111,0.038151
112,0.0393217
113,0.0379923
114,0.0400089
115,0.0397271
116,0.0382531
117,0.0388888
118,0.038125
119,0.0392668
120,0.0389641
121,0.0379742
122,0.0380396
123,0.0383864
124,0.0383575
125,0.0386764
126,0.0390391
127,0.0397827
128,0.0384466
129,0.0396103
130,0.0389469
131,0.0424296
132,0.0393934
133,0.0381159
134,0.0401079
135,0.0378635
136,0.0392221
137,0.0409114
138,0.0381992
139,0.0376374
140,0.0378141
141,0.0385542
142,0.0397811
143,0.0396044
144,0.037837
145,0.038776
146,0.0390624
147,0.0390689
148,0.0390027
149,0.0384243
150,0.0385567
151,0.0385314
152,0.0395217
153,0.0378839
154,0.0385279
155,0.0380413
156,0.0386306
157,0.0387617
158,0.0379071
159,0.0378301
160,0.0383893
161,0.0389172
162,0.0383909
163,0.0388973
164,0.0387898
165,0.0392984
166,0.0378077
167,0.0379173
168,0.0375736
169,0.0432142
170,0.0385863
171,0.0377437
172,0.0375534
173,0.0378995
174,0.0375743
175,0.0381535
176,0.0390371
177,0.0379489
178,0.0379591
179,0.0380446
180,0.0379055
181,0.039017
182,0.0440919
183,0.0378049
184,0.0374226
185,0.0392012
186,0.0375021
187,0.0377224
188,0.0379471
189,0.0381618
190,0.0389547
191,0.0393401
192,0.037958
193,0.0374172
194,0.0379991
195,0.0378652
196,0.0390195
197,0.0379457
198,0.0429091
199,0.0387111
200,0.0381905
201,0.0377703
202,0.0377548
203,0.0378717
204,0.0378264
205,0.0412802
206,0.038116
207,0.0387399
208,0.0375227
209,0.0377971
210,0.0378673
211,0.0381044
212,0.0392877
213,0.0383459
214,0.0382887
215,0.0392413
216,0.0381645
217,0.0382042
218,0.0379105
219,0.0378669
220,0.0379048
221,0.0372424
222,0.0379288
223,0.0385105
224,0.0391287
225,0.0379201
226,0.0381781
227,0.0389057
228,0.0377537
229,0.038387
230,0.0386626
231,0.0384522
232,0.0373352
233,0.0386001
234,0.0372603
235,0.0380092
236,0.0395341
237,0.0379293
238,0.0385573
239,0.0381011
240,0.0379545
241,0.0379633
242,0.0374518
243,0.0377309
244,0.0378512
245,0.0381769
246,0.0375101
247,0.0375142
248,0.0378209
249,0.037366
250,0.0384806
251,0.0392359
252,0.0435309
253,0.0374593
254,0.0385698
255,0.039285
256,0.038856
257,0.045151
258,0.0390538
259,0.0381013
260,0.0383809
261,0.0382033
262,0.0384736
263,0.0381996
264,0.0377513
265,0.0380889
266,0.0383269
267,0.0447234
268,0.0377927
269,0.038087
270,0.0379813
